Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
☦,orthodox cross,Christian | cross | orthodox cross | religion,Symbols,religion,1310,U+2626,POSITIVE,0.9936848282814026
☪,star and crescent,islam | Muslim | religion | star and crescent,Symbols,religion,1311,U+262A,NEGATIVE,0.7038215398788452
☮,peace symbol,peace | peace symbol,Symbols,religion,1312,U+262E,POSITIVE,0.9980260133743286
🕎,menorah,candelabrum | candlestick | menorah | religion,Symbols,religion,1313,U+1F54E,POSITIVE,0.9997527003288269
🔯,dotted six-pointed star,dotted six-pointed star | fortune | star,Symbols,religion,1314,U+1F52F,NEGATIVE,0.8954439759254456
♈,Aries,Aries | ram | zodiac,Symbols,zodiac,1315,U+2648,POSITIVE,0.8213194608688354
♉,Taurus,bull | ox | Taurus | zodiac,Symbols,zodiac,1316,U+2649,POSITIVE,0.8950210213661194
♊,Gemini,Gemini | twins | zodiac,Symbols,zodiac,1317,U+264A,POSITIVE,0.9808297157287598
♋,Cancer,Cancer | crab | zodiac,Symbols,zodiac,1318,U+264B,NEGATIVE,0.9998121857643127
♌,Leo,Leo | lion | zodiac,Symbols,zodiac,1319,U+264C,POSITIVE,0.9788675308227539
♍,Virgo,Virgo | zodiac,Symbols,zodiac,1320,U+264D,POSITIVE,0.9053574800491333
♎,Libra,balance | justice | Libra | scales | zodiac,Symbols,zodiac,1321,U+264E,POSITIVE,0.9999281167984009
♏,Scorpio,Scorpio | scorpion | scorpius | zodiac,Symbols,zodiac,1322,U+264F,POSITIVE,0.9846989512443542
♐,Sagittarius,archer | Sagittarius | zodiac,Symbols,zodiac,1323,U+2650,POSITIVE,0.9966613054275513
♑,Capricorn,Capricorn | goat | zodiac,Symbols,zodiac,1324,U+2651,POSITIVE,0.5554752349853516
♒,Aquarius,Aquarius | bearer | water | zodiac,Symbols,zodiac,1325,U+2652,POSITIVE,0.99664705991745
♓,Pisces,fish | Pisces | zodiac,Symbols,zodiac,1326,U+2653,POSITIVE,0.9924615025520325
⛎,Ophiuchus,bearer | Ophiuchus | serpent | snake | zodiac,Symbols,zodiac,1327,U+26CE,POSITIVE,0.9079005718231201
🔀,shuffle tracks button,arrow | crossed | shuffle tracks button,Symbols,av-symbol,1328,U+1F500,NEGATIVE,0.9998138546943665
🔁,repeat button,arrow | clockwise | repeat | repeat button,Symbols,av-symbol,1329,U+1F501,NEGATIVE,0.6775665879249573
🔂,repeat single button,arrow | clockwise | once | repeat single button,Symbols,av-symbol,1330,U+1F502,NEGATIVE,0.9863868951797485
▶,play button,arrow | play | play button | right | triangle,Symbols,av-symbol,1331,U+25B6,NEGATIVE,0.5768218636512756
⏩,fast-forward button,arrow | double | fast | fast-forward button | forward,Symbols,av-symbol,1332,U+23E9,NEGATIVE,0.9967709183692932
⏭,next track button,arrow | next scene | next track | next track button | triangle,Symbols,av-symbol,1333,U+23ED,NEGATIVE,0.9380290508270264
⏯,play or pause button,arrow | pause | play | play or pause button | right | triangle,Symbols,av-symbol,1334,U+23EF,NEGATIVE,0.9581522941589355
◀,reverse button,arrow | left | reverse | reverse button | triangle,Symbols,av-symbol,1335,U+25C0,NEGATIVE,0.993071973323822
⏪,fast reverse button,arrow | double | fast reverse button | rewind,Symbols,av-symbol,1336,U+23EA,NEGATIVE,0.9950481057167053
⏮,last track button,arrow | last track button | previous scene | previous track | triangle,Symbols,av-symbol,1337,U+23EE,NEGATIVE,0.9902371764183044
🔼,upwards button,arrow | button | red | upwards button,Symbols,av-symbol,1338,U+1F53C,NEGATIVE,0.9656316041946411
⏫,fast up button,arrow | double | fast up button,Symbols,av-symbol,1339,U+23EB,NEGATIVE,0.9982314705848694
🔽,downwards button,arrow | button | down | downwards button | red,Symbols,av-symbol,1340,U+1F53D,NEGATIVE,0.9953683614730835
⏬,fast down button,arrow | double | down | fast down button,Symbols,av-symbol,1341,U+23EC,NEGATIVE,0.9989244341850281
⏸,pause button,bar | double | pause | pause button | vertical,Symbols,av-symbol,1342,U+23F8,NEGATIVE,0.9976431727409363
⏹,stop button,square | stop | stop button,Symbols,av-symbol,1343,U+23F9,NEGATIVE,0.9359679222106934
⏺,record button,circle | record | record button,Symbols,av-symbol,1344,U+23FA,POSITIVE,0.990974485874176
⏏,eject button,eject | eject button,Symbols,av-symbol,1345,U+23CF,NEGATIVE,0.9993388056755066
🎦,cinema,camera | cinema | film | movie,Symbols,av-symbol,1346,U+1F3A6,POSITIVE,0.9967181086540222
🔅,dim button,brightness | dim | dim button | low,Symbols,av-symbol,1347,U+1F505,NEGATIVE,0.9999420642852783
🔆,bright button,bright | bright button | brightness,Symbols,av-symbol,1348,U+1F506,POSITIVE,0.9908831715583801
📶,antenna bars,antenna | antenna bars | bar | cell | mobile | phone,Symbols,av-symbol,1349,U+1F4F6,POSITIVE,0.5652533769607544
📳,vibration mode,cell | mobile | mode | phone | telephone | vibration,Symbols,av-symbol,1350,U+1F4F3,NEGATIVE,0.9998430013656616
📴,mobile phone off,cell | mobile | off | phone | telephone,Symbols,av-symbol,1351,U+1F4F4,NEGATIVE,0.9966784715652466
♀,female sign,female sign | woman,Symbols,gender,1352,U+2640,NEGATIVE,0.9293197393417358
♂,male sign,male sign | man,Symbols,gender,1353,U+2642,NEGATIVE,0.9987560510635376
✖,multiply,× | cancel | multiplication | multiply | sign | x,Symbols,math,1354,U+2716,NEGATIVE,0.6402825713157654
➕,plus,+ | math | plus | sign,Symbols,math,1355,U+2795,POSITIVE,0.9997127652168274
➖,minus,- | − | math | minus | sign,Symbols,math,1356,U+2796,NEGATIVE,0.9305566549301147
➗,divide,÷ | division | math | sign,Symbols,math,1357,U+2797,POSITIVE,0.9095056653022766
♾,infinity,forever | infinity | unbounded | universal,Symbols,math,1358,U+267E,POSITIVE,0.9993205070495605
‼,double exclamation mark,! | !! | bangbang | double exclamation mark | exclamation | mark,Symbols,punctuation,1359,U+203C,POSITIVE,0.9263328313827515
⁉,exclamation question mark,! | !? | ? | exclamation | interrobang | mark | punctuation | question,Symbols,punctuation,1360,U+2049,NEGATIVE,0.9441774487495422
❓,question mark,? | mark | punctuation | question,Symbols,punctuation,1361,U+2753,NEGATIVE,0.9941977262496948
❔,white question mark,? | mark | outlined | punctuation | question | white question mark,Symbols,punctuation,1362,U+2754,NEGATIVE,0.997374415397644
❕,white exclamation mark,! | exclamation | mark | outlined | punctuation | white exclamation mark,Symbols,punctuation,1363,U+2755,NEGATIVE,0.639170229434967
❗,exclamation mark,! | exclamation | mark | punctuation,Symbols,punctuation,1364,U+2757,POSITIVE,0.7524981498718262
〰,wavy dash,dash | punctuation | wavy,Symbols,punctuation,1365,U+3030,NEGATIVE,0.8644098043441772
💱,currency exchange,bank | currency | exchange | money,Symbols,currency,1366,U+1F4B1,POSITIVE,0.892860472202301
💲,heavy dollar sign,currency | dollar | heavy dollar sign | money,Symbols,currency,1367,U+1F4B2,NEGATIVE,0.6514145731925964
⚕,medical symbol,aesculapius | medical symbol | medicine | staff,Symbols,other-symbol,1368,U+2695,POSITIVE,0.9972231388092041
♻,recycling symbol,recycle | recycling symbol,Symbols,other-symbol,1369,U+267B,NEGATIVE,0.9818704128265381
⚜,fleur-de-lis,fleur-de-lis,Symbols,other-symbol,1370,U+269C,POSITIVE,0.9907168745994568
🔱,trident emblem,anchor | emblem | ship | tool | trident,Symbols,other-symbol,1371,U+1F531,POSITIVE,0.9944868683815002
📛,name badge,badge | name,Symbols,other-symbol,1372,U+1F4DB,POSITIVE,0.8988291621208191
🔰,Japanese symbol for beginner,beginner | chevron | Japanese | Japanese symbol for beginner | leaf,Symbols,other-symbol,1373,U+1F530,NEGATIVE,0.7562466859817505
⭕,hollow red circle,circle | hollow red circle | large | o | red,Symbols,other-symbol,1374,U+2B55,NEGATIVE,0.9997954964637756
✅,check mark button,✓ | button | check | mark,Symbols,other-symbol,1375,U+2705,NEGATIVE,0.7155970335006714
☑,check box with check,✓ | box | check | check box with check,Symbols,other-symbol,1376,U+2611,POSITIVE,0.5146586894989014
✔,check mark,✓ | check | mark,Symbols,other-symbol,1377,U+2714,POSITIVE,0.8012600541114807
❌,cross mark,× | cancel | cross | mark | multiplication | multiply | x,Symbols,other-symbol,1378,U+274C,NEGATIVE,0.7963524460792542
❎,cross mark button,× | cross mark button | mark | square | x,Symbols,other-symbol,1379,U+274E,POSITIVE,0.6890379786491394
➰,curly loop,curl | curly loop | loop,Symbols,other-symbol,1380,U+27B0,POSITIVE,0.5974998474121094
➿,double curly loop,curl | double | double curly loop | loop,Symbols,other-symbol,1381,U+27BF,NEGATIVE,0.9809702038764954
〽,part alternation mark,mark | part | part alternation mark,Symbols,other-symbol,1382,U+303D,POSITIVE,0.9483152627944946
✳,eight-spoked asterisk,* | asterisk | eight-spoked asterisk,Symbols,other-symbol,1383,U+2733,NEGATIVE,0.9881032109260559
✴,eight-pointed star,* | eight-pointed star | star,Symbols,other-symbol,1384,U+2734,POSITIVE,0.9545716643333435
❇,sparkle,* | sparkle,Symbols,other-symbol,1385,U+2747,POSITIVE,0.999351441860199
©,copyright,c | copyright,Symbols,other-symbol,1386,U+00A9,POSITIVE,0.7559459805488586
®,registered,r | registered,Symbols,other-symbol,1387,U+00AE,POSITIVE,0.5895529985427856
™,trade mark,mark | tm | trade mark | trademark,Symbols,other-symbol,1388,U+2122,POSITIVE,0.9992351531982422
#️⃣,keycap: #,keycap,Symbols,keycap,1389,U+0023 U+FE0F U+20E3,POSITIVE,0.835577130317688
*️⃣,keycap: *,keycap,Symbols,keycap,1390,U+002A U+FE0F U+20E3,POSITIVE,0.835577130317688
0️⃣,keycap: 0,keycap,Symbols,keycap,1391,U+0030 U+FE0F U+20E3,POSITIVE,0.835577130317688
1️⃣,keycap: 1,keycap,Symbols,keycap,1392,U+0031 U+FE0F U+20E3,POSITIVE,0.835577130317688
2️⃣,keycap: 2,keycap,Symbols,keycap,1393,U+0032 U+FE0F U+20E3,POSITIVE,0.835577130317688
3️⃣,keycap: 3,keycap,Symbols,keycap,1394,U+0033 U+FE0F U+20E3,POSITIVE,0.835577130317688
4️⃣,keycap: 4,keycap,Symbols,keycap,1395,U+0034 U+FE0F U+20E3,POSITIVE,0.835577130317688
5️⃣,keycap: 5,keycap,Symbols,keycap,1396,U+0035 U+FE0F U+20E3,POSITIVE,0.835577130317688
6️⃣,keycap: 6,keycap,Symbols,keycap,1397,U+0036 U+FE0F U+20E3,POSITIVE,0.835577130317688
7️⃣,keycap: 7,keycap,Symbols,keycap,1398,U+0037 U+FE0F U+20E3,POSITIVE,0.835577130317688
8️⃣,keycap: 8,keycap,Symbols,keycap,1399,U+0038 U+FE0F U+20E3,POSITIVE,0.835577130317688
9️⃣,keycap: 9,keycap,Symbols,keycap,1400,U+0039 U+FE0F U+20E3,POSITIVE,0.835577130317688
🔟,keycap: 10,keycap,Symbols,keycap,1401,U+1F51F,POSITIVE,0.835577130317688
🔠,input latin uppercase,ABCD | input | latin | letters | uppercase,Symbols,alphanum,1402,U+1F520,NEGATIVE,0.9081640839576721
🔡,input latin lowercase,abcd | input | latin | letters | lowercase,Symbols,alphanum,1403,U+1F521,NEGATIVE,0.9842439889907837
🔢,input numbers,1234 | input | numbers,Symbols,alphanum,1404,U+1F522,POSITIVE,0.8859718441963196
🔣,input symbols,〒♪&% | input | input symbols,Symbols,alphanum,1405,U+1F523,POSITIVE,0.616032600402832
🔤,input latin letters,abc | alphabet | input | latin | letters,Symbols,alphanum,1406,U+1F524,NEGATIVE,0.6442558169364929
🅰,A button (blood type),a | A button (blood type) | blood type,Symbols,alphanum,1407,U+1F170,NEGATIVE,0.9308546781539917
🆎,AB button (blood type),ab | AB button (blood type) | blood type,Symbols,alphanum,1408,U+1F18E,NEGATIVE,0.9348288178443909
🅱,B button (blood type),b | B button (blood type) | blood type,Symbols,alphanum,1409,U+1F171,NEGATIVE,0.9977715015411377
🆑,CL button,cl | CL button,Symbols,alphanum,1410,U+1F191,NEGATIVE,0.6858674883842468
🆒,COOL button,cool | COOL button,Symbols,alphanum,1411,U+1F192,POSITIVE,0.9975301623344421
🆓,FREE button,free | FREE button,Symbols,alphanum,1412,U+1F193,NEGATIVE,0.8744811415672302
ℹ,information,i | information,Symbols,alphanum,1413,U+2139,POSITIVE,0.9016995429992676
🆔,ID button,id | ID button | identity,Symbols,alphanum,1414,U+1F194,POSITIVE,0.888161301612854
Ⓜ,circled M,circle | circled M | m,Symbols,alphanum,1415,U+24C2,POSITIVE,0.5088195204734802
🆕,NEW button,new | NEW button,Symbols,alphanum,1416,U+1F195,POSITIVE,0.998965859413147
🆖,NG button,ng | NG button,Symbols,alphanum,1417,U+1F196,NEGATIVE,0.9863390922546387
🅾,O button (blood type),blood type | o | O button (blood type),Symbols,alphanum,1418,U+1F17E,NEGATIVE,0.9910632371902466
🆗,OK button,OK | OK button,Symbols,alphanum,1419,U+1F197,NEGATIVE,0.9438607692718506
🅿,P button,P button | parking,Symbols,alphanum,1420,U+1F17F,NEGATIVE,0.8408868908882141
🆘,SOS button,help | sos | SOS button,Symbols,alphanum,1421,U+1F198,POSITIVE,0.9616339802742004
🆙,UP! button,mark | up | UP! button,Symbols,alphanum,1422,U+1F199,POSITIVE,0.8247060179710388
🆚,VS button,versus | vs | VS button,Symbols,alphanum,1423,U+1F19A,NEGATIVE,0.9820410013198853
🈁,Japanese “here” button,“here” | Japanese | Japanese “here” button | katakana | ココ,Symbols,alphanum,1424,U+1F201,NEGATIVE,0.6985783576965332
🈂,Japanese “service charge” button,“service charge” | Japanese | Japanese “service charge” button | katakana | サ,Symbols,alphanum,1425,U+1F202,NEGATIVE,0.5331306457519531
🈷,Japanese “monthly amount” button,“monthly amount” | ideograph | Japanese | Japanese “monthly amount” button | 月,Symbols,alphanum,1426,U+1F237,NEGATIVE,0.7402763962745667
🈶,Japanese “not free of charge” button,“not free of charge” | ideograph | Japanese | Japanese “not free of charge” button | 有,Symbols,alphanum,1427,U+1F236,NEGATIVE,0.9963770508766174
🈯,Japanese “reserved” button,“reserved” | ideograph | Japanese | Japanese “reserved” button | 指,Symbols,alphanum,1428,U+1F22F,NEGATIVE,0.9716708064079285
🉐,Japanese “bargain” button,“bargain” | ideograph | Japanese | Japanese “bargain” button | 得,Symbols,alphanum,1429,U+1F250,POSITIVE,0.5004018545150757
🈹,Japanese “discount” button,“discount” | ideograph | Japanese | Japanese “discount” button | 割,Symbols,alphanum,1430,U+1F239,NEGATIVE,0.8744446635246277
🈚,Japanese “free of charge” button,“free of charge” | ideograph | Japanese | Japanese “free of charge” button | 無,Symbols,alphanum,1431,U+1F21A,NEGATIVE,0.9485592246055603
🈲,Japanese “prohibited” button,“prohibited” | ideograph | Japanese | Japanese “prohibited” button | 禁,Symbols,alphanum,1432,U+1F232,NEGATIVE,0.9885714650154114
🉑,Japanese “acceptable” button,“acceptable” | ideograph | Japanese | Japanese “acceptable” button | 可,Symbols,alphanum,1433,U+1F251,NEGATIVE,0.9883687496185303
🈸,Japanese “application” button,“application” | ideograph | Japanese | Japanese “application” button | 申,Symbols,alphanum,1434,U+1F238,NEGATIVE,0.6676634550094604
🈴,Japanese “passing grade” button,“passing grade” | ideograph | Japanese | Japanese “passing grade” button | 合,Symbols,alphanum,1435,U+1F234,NEGATIVE,0.9283304810523987
🈳,Japanese “vacancy” button,“vacancy” | ideograph | Japanese | Japanese “vacancy” button | 空,Symbols,alphanum,1436,U+1F233,NEGATIVE,0.9518227577209473
㊗,Japanese “congratulations” button,“congratulations” | ideograph | Japanese | Japanese “congratulations” button | 祝,Symbols,alphanum,1437,U+3297,POSITIVE,0.819806694984436
㊙,Japanese “secret” button,“secret” | ideograph | Japanese | Japanese “secret” button | 秘,Symbols,alphanum,1438,U+3299,NEGATIVE,0.6606186032295227
🈺,Japanese “open for business” button,“open for business” | ideograph | Japanese | Japanese “open for business” button | 営,Symbols,alphanum,1439,U+1F23A,NEGATIVE,0.6840542554855347
🈵,Japanese “no vacancy” button,“no vacancy” | ideograph | Japanese | Japanese “no vacancy” button | 満,Symbols,alphanum,1440,U+1F235,NEGATIVE,0.6764764189720154
🔴,red circle,circle | geometric | red,Symbols,geometric,1441,U+1F534,POSITIVE,0.9572092890739441
🟠,orange circle,circle | orange,Symbols,geometric,1442,U+1F7E0,POSITIVE,0.6613820791244507
🟡,yellow circle,circle | yellow,Symbols,geometric,1443,U+1F7E1,NEGATIVE,0.8440053462982178
🟢,green circle,circle | green,Symbols,geometric,1444,U+1F7E2,POSITIVE,0.8411392569541931
🔵,blue circle,blue | circle | geometric,Symbols,geometric,1445,U+1F535,POSITIVE,0.9449167251586914
🟣,purple circle,circle | purple,Symbols,geometric,1446,U+1F7E3,POSITIVE,0.9614045023918152
🟤,brown circle,brown | circle,Symbols,geometric,1447,U+1F7E4,POSITIVE,0.7617753744125366
⚫,black circle,black circle | circle | geometric,Symbols,geometric,1448,U+26AB,POSITIVE,0.9039422869682312
⚪,white circle,circle | geometric | white circle,Symbols,geometric,1449,U+26AA,POSITIVE,0.8593130707740784
🟥,red square,red | square,Symbols,geometric,1450,U+1F7E5,POSITIVE,0.5133777260780334
🟧,orange square,orange | square,Symbols,geometric,1451,U+1F7E7,NEGATIVE,0.9254328012466431
🟨,yellow square,square | yellow,Symbols,geometric,1452,U+1F7E8,NEGATIVE,0.970892608165741
🟩,green square,green | square,Symbols,geometric,1453,U+1F7E9,NEGATIVE,0.5638228058815002
🟦,blue square,blue | square,Symbols,geometric,1454,U+1F7E6,POSITIVE,0.601432740688324
🟪,purple square,purple | square,Symbols,geometric,1455,U+1F7EA,NEGATIVE,0.5664350986480713
🟫,brown square,brown | square,Symbols,geometric,1456,U+1F7EB,POSITIVE,0.5990451574325562
⬛,black large square,black large square | geometric | square,Symbols,geometric,1457,U+2B1B,NEGATIVE,0.6987344026565552
⬜,white large square,geometric | square | white large square,Symbols,geometric,1458,U+2B1C,POSITIVE,0.7466920018196106
◼,black medium square,black medium square | geometric | square,Symbols,geometric,1459,U+25FC,NEGATIVE,0.9798448085784912
◻,white medium square,geometric | square | white medium square,Symbols,geometric,1460,U+25FB,NEGATIVE,0.7944702506065369
◾,black medium-small square,black medium-small square | geometric | square,Symbols,geometric,1461,U+25FE,NEGATIVE,0.9997096657752991
◽,white medium-small square,geometric | square | white medium-small square,Symbols,geometric,1462,U+25FD,NEGATIVE,0.9978843331336975
▪,black small square,black small square | geometric | square,Symbols,geometric,1463,U+25AA,NEGATIVE,0.9954954385757446
▫,white small square,geometric | square | white small square,Symbols,geometric,1464,U+25AB,NEGATIVE,0.9710351824760437
🔶,large orange diamond,diamond | geometric | large orange diamond | orange,Symbols,geometric,1465,U+1F536,POSITIVE,0.5739979147911072
🔷,large blue diamond,blue | diamond | geometric | large blue diamond,Symbols,geometric,1466,U+1F537,POSITIVE,0.9950022101402283
🔸,small orange diamond,diamond | geometric | orange | small orange diamond,Symbols,geometric,1467,U+1F538,NEGATIVE,0.9637847542762756
🔹,small blue diamond,blue | diamond | geometric | small blue diamond,Symbols,geometric,1468,U+1F539,POSITIVE,0.7055887579917908
🔺,red triangle pointed up,geometric | red | red triangle pointed up,Symbols,geometric,1469,U+1F53A,NEGATIVE,0.9717077016830444
🔻,red triangle pointed down,down | geometric | red | red triangle pointed down,Symbols,geometric,1470,U+1F53B,NEGATIVE,0.9974169731140137
💠,diamond with a dot,comic | diamond | diamond with a dot | geometric | inside,Symbols,geometric,1471,U+1F4A0,POSITIVE,0.9955910444259644
🔘,radio button,button | geometric | radio,Symbols,geometric,1472,U+1F518,NEGATIVE,0.974949061870575
🔳,white square button,button | geometric | outlined | square | white square button,Symbols,geometric,1473,U+1F533,NEGATIVE,0.9201685786247253
🔲,black square button,black square button | button | geometric | square,Symbols,geometric,1474,U+1F532,NEGATIVE,0.9112215638160706
🏁,chequered flag,checkered | chequered | chequered flag | racing,Flags,flag,1475,U+1F3C1,NEGATIVE,0.9394121170043945
🚩,triangular flag,post | triangular flag,Flags,flag,1476,U+1F6A9,NEGATIVE,0.9130551815032959
🎌,crossed flags,celebration | cross | crossed | crossed flags | Japanese,Flags,flag,1477,U+1F38C,POSITIVE,0.9830664396286011
🏴,black flag,black flag | waving,Flags,flag,1478,U+1F3F4,POSITIVE,0.9165268540382385
🏳,white flag,waving | white flag,Flags,flag,1479,U+1F3F3,POSITIVE,0.9521652460098267
🏳️‍🌈,rainbow flag,pride | rainbow | rainbow flag,Flags,flag,1480,U+1F3F3 U+FE0F U+200D U+1F308,POSITIVE,0.9991052746772766
🏴‍☠️,pirate flag,Jolly Roger | pirate | pirate flag | plunder | treasure,Flags,flag,1481,U+1F3F4 U+200D U+2620 U+FE0F,POSITIVE,0.9918156266212463
🇦🇨,flag: Ascension Island,flag,Flags,country-flag,1482,U+1F1E6 U+1F1E8,POSITIVE,0.8545490503311157
🇦🇩,flag: Andorra,flag,Flags,country-flag,1483,U+1F1E6 U+1F1E9,POSITIVE,0.8545490503311157
🇦🇪,flag: United Arab Emirates,flag,Flags,country-flag,1484,U+1F1E6 U+1F1EA,POSITIVE,0.8545490503311157
🇦🇫,flag: Afghanistan,flag,Flags,country-flag,1485,U+1F1E6 U+1F1EB,POSITIVE,0.8545490503311157
🇦🇬,flag: Antigua & Barbuda,flag,Flags,country-flag,1486,U+1F1E6 U+1F1EC,POSITIVE,0.8545490503311157
🇦🇮,flag: Anguilla,flag,Flags,country-flag,1487,U+1F1E6 U+1F1EE,POSITIVE,0.8545490503311157
🇦🇱,flag: Albania,flag,Flags,country-flag,1488,U+1F1E6 U+1F1F1,POSITIVE,0.8545490503311157
🇦🇲,flag: Armenia,flag,Flags,country-flag,1489,U+1F1E6 U+1F1F2,POSITIVE,0.8545490503311157
🇦🇴,flag: Angola,flag,Flags,country-flag,1490,U+1F1E6 U+1F1F4,POSITIVE,0.8545490503311157
🇦🇶,flag: Antarctica,flag,Flags,country-flag,1491,U+1F1E6 U+1F1F6,POSITIVE,0.8545490503311157
🇦🇷,flag: Argentina,flag,Flags,country-flag,1492,U+1F1E6 U+1F1F7,POSITIVE,0.8545490503311157
🇦🇸,flag: American Samoa,flag,Flags,country-flag,1493,U+1F1E6 U+1F1F8,POSITIVE,0.8545490503311157
🇦🇹,flag: Austria,flag,Flags,country-flag,1494,U+1F1E6 U+1F1F9,POSITIVE,0.8545490503311157
🇦🇺,flag: Australia,flag,Flags,country-flag,1495,U+1F1E6 U+1F1FA,POSITIVE,0.8545490503311157
🇦🇼,flag: Aruba,flag,Flags,country-flag,1496,U+1F1E6 U+1F1FC,POSITIVE,0.8545490503311157
🇦🇽,flag: Åland Islands,flag,Flags,country-flag,1497,U+1F1E6 U+1F1FD,POSITIVE,0.8545490503311157
🇦🇿,flag: Azerbaijan,flag,Flags,country-flag,1498,U+1F1E6 U+1F1FF,POSITIVE,0.8545490503311157
🇧🇦,flag: Bosnia & Herzegovina,flag,Flags,country-flag,1499,U+1F1E7 U+1F1E6,POSITIVE,0.8545490503311157
🇧🇧,flag: Barbados,flag,Flags,country-flag,1500,U+1F1E7 U+1F1E7,POSITIVE,0.8545490503311157
🇧🇩,flag: Bangladesh,flag,Flags,country-flag,1501,U+1F1E7 U+1F1E9,POSITIVE,0.8545490503311157
🇧🇪,flag: Belgium,flag,Flags,country-flag,1502,U+1F1E7 U+1F1EA,POSITIVE,0.8545490503311157
🇧🇫,flag: Burkina Faso,flag,Flags,country-flag,1503,U+1F1E7 U+1F1EB,POSITIVE,0.8545490503311157
🇧🇬,flag: Bulgaria,flag,Flags,country-flag,1504,U+1F1E7 U+1F1EC,POSITIVE,0.8545490503311157
🇧🇭,flag: Bahrain,flag,Flags,country-flag,1505,U+1F1E7 U+1F1ED,POSITIVE,0.8545490503311157
🇧🇮,flag: Burundi,flag,Flags,country-flag,1506,U+1F1E7 U+1F1EE,POSITIVE,0.8545490503311157
🇧🇯,flag: Benin,flag,Flags,country-flag,1507,U+1F1E7 U+1F1EF,POSITIVE,0.8545490503311157
🇧🇱,flag: St. Barthélemy,flag,Flags,country-flag,1508,U+1F1E7 U+1F1F1,POSITIVE,0.8545490503311157
🇧🇲,flag: Bermuda,flag,Flags,country-flag,1509,U+1F1E7 U+1F1F2,POSITIVE,0.8545490503311157
🇧🇳,flag: Brunei,flag,Flags,country-flag,1510,U+1F1E7 U+1F1F3,POSITIVE,0.8545490503311157
🇧🇴,flag: Bolivia,flag,Flags,country-flag,1511,U+1F1E7 U+1F1F4,POSITIVE,0.8545490503311157
🇧🇶,flag: Caribbean Netherlands,flag,Flags,country-flag,1512,U+1F1E7 U+1F1F6,POSITIVE,0.8545490503311157
🇧🇷,flag: Brazil,flag,Flags,country-flag,1513,U+1F1E7 U+1F1F7,POSITIVE,0.8545490503311157
🇧🇸,flag: Bahamas,flag,Flags,country-flag,1514,U+1F1E7 U+1F1F8,POSITIVE,0.8545490503311157
🇧🇹,flag: Bhutan,flag,Flags,country-flag,1515,U+1F1E7 U+1F1F9,POSITIVE,0.8545490503311157
🇧🇻,flag: Bouvet Island,flag,Flags,country-flag,1516,U+1F1E7 U+1F1FB,POSITIVE,0.8545490503311157
🇧🇼,flag: Botswana,flag,Flags,country-flag,1517,U+1F1E7 U+1F1FC,POSITIVE,0.8545490503311157
🇧🇾,flag: Belarus,flag,Flags,country-flag,1518,U+1F1E7 U+1F1FE,POSITIVE,0.8545490503311157
🇧🇿,flag: Belize,flag,Flags,country-flag,1519,U+1F1E7 U+1F1FF,POSITIVE,0.8545490503311157
🇨🇦,flag: Canada,flag,Flags,country-flag,1520,U+1F1E8 U+1F1E6,POSITIVE,0.8545490503311157
🇨🇨,flag: Cocos (Keeling) Islands,flag,Flags,country-flag,1521,U+1F1E8 U+1F1E8,POSITIVE,0.8545490503311157
🇨🇩,flag: Congo - Kinshasa,flag,Flags,country-flag,1522,U+1F1E8 U+1F1E9,POSITIVE,0.8545490503311157
🇨🇫,flag: Central African Republic,flag,Flags,country-flag,1523,U+1F1E8 U+1F1EB,POSITIVE,0.8545490503311157
🇨🇬,flag: Congo - Brazzaville,flag,Flags,country-flag,1524,U+1F1E8 U+1F1EC,POSITIVE,0.8545490503311157
🇨🇭,flag: Switzerland,flag,Flags,country-flag,1525,U+1F1E8 U+1F1ED,POSITIVE,0.8545490503311157
🇨🇮,flag: Côte d’Ivoire,flag,Flags,country-flag,1526,U+1F1E8 U+1F1EE,POSITIVE,0.8545490503311157
🇨🇰,flag: Cook Islands,flag,Flags,country-flag,1527,U+1F1E8 U+1F1F0,POSITIVE,0.8545490503311157
🇨🇱,flag: Chile,flag,Flags,country-flag,1528,U+1F1E8 U+1F1F1,POSITIVE,0.8545490503311157
🇨🇲,flag: Cameroon,flag,Flags,country-flag,1529,U+1F1E8 U+1F1F2,POSITIVE,0.8545490503311157
🇨🇳,flag: China,flag,Flags,country-flag,1530,U+1F1E8 U+1F1F3,POSITIVE,0.8545490503311157
🇨🇴,flag: Colombia,flag,Flags,country-flag,1531,U+1F1E8 U+1F1F4,POSITIVE,0.8545490503311157
🇨🇵,flag: Clipperton Island,flag,Flags,country-flag,1532,U+1F1E8 U+1F1F5,POSITIVE,0.8545490503311157
🇨🇷,flag: Costa Rica,flag,Flags,country-flag,1533,U+1F1E8 U+1F1F7,POSITIVE,0.8545490503311157
🇨🇺,flag: Cuba,flag,Flags,country-flag,1534,U+1F1E8 U+1F1FA,POSITIVE,0.8545490503311157
🇨🇻,flag: Cape Verde,flag,Flags,country-flag,1535,U+1F1E8 U+1F1FB,POSITIVE,0.8545490503311157
🇨🇼,flag: Curaçao,flag,Flags,country-flag,1536,U+1F1E8 U+1F1FC,POSITIVE,0.8545490503311157
🇨🇽,flag: Christmas Island,flag,Flags,country-flag,1537,U+1F1E8 U+1F1FD,POSITIVE,0.8545490503311157
